stopwords
da
allah
ya
ba
ta
wannan
ne
kuma
su
sai
mu
yan
ko
mai
dai
shi
ka
yayi
amma
ga
haka
yi
daga
ma
duk
kai
masu
wani
sun
zai
sa
ina
nan
idan
wanda
ke
suka
cikin
wa
daya
kasa
iya
yake
domin
kan
yana
aka
har
ake
gaba
akwai
yadda
abin
